TRANSACTION_AMT,TRANSACTION_DT
690,2015-02-20
60,2015-05-29
99.59,2015-03-17
235,2015-04-02
7.95,2015-03-03
277.28,2015-01-08
625,2015-02-09
74.1,2015-03-19
221.88,2015-04-30
720,2015-06-03
151.2,2015-01-27
86.55,2015-03-31
55,2015-04-19
21.2,2015-03-03
493.55,2015-05-28
915.7,2015-01-28
177,2015-02-06
686.74,2015-04-30
89.94,2015-04-01
100,2015-05-08
25.88,2015-05-03
245.4,2015-03-04
2162.9,2015-04-15
97.53,2015-04-23
55,2015-02-23
11.95,2015-02-24
3200,2015-02-15
34.95,2015-06-02
-860.2,2015-02-10
395.47,2015-03-06
550,2015-06-15
1830.09,2015-06-26
4127.24,2015-02-05
61.65,2015-03-08
51.82,2015-02-23
1183.14,2015-05-22
191.49,2015-01-15
30,2015-02-06
16.4,2015-05-14
1250,2015-04-23
833.69,2015-06-23
7.95,2015-04-02
624,2015-06-15
86,2015-03-26
450,2015-03-18
484.5,2015-02-10
7.65,2015-01-05
3404,2015-02-10
254,2015-05-19
3626.98,2015-06-02
18.68,2015-05-24
10500,2015-04-29
676.28,2015-06-19
560.48,2015-06-30
37.95,2015-06-02
60.08,2015-05-27
8.05,2015-04-08
0.91,2015-04-06
178.86,2015-06-30
220.12,2015-06-10
149.6,2015-02-14
20,2015-01-05
4117.07,2015-06-15
1000,2015-03-26
4806.64,2015-05-15
3.01,2015-05-26
447.19,2015-04-01
46.55,2015-02-04
600,2015-03-24
5979.5,2015-04-27
2233.43,2015-02-15
3450,2015-05-11
35,2015-05-13
16.15,2015-01-11
131.64,2015-01-15
600,2015-04-20
85,2015-06-12
7.27,2015-01-15
217.5,2015-02-05
2319.21,2015-01-15
25,2015-05-29
19552.85,2015-02-06
86,2015-03-27
113.97,2015-04-08
30.43,2015-04-10
2000,2015-06-30
2816.46,2015-02-28
97.56,2015-06-16
32.77,2015-04-10
556.94,2015-01-30
856,2015-02-10
39.3,2015-06-26
54.07,2015-05-21
100,2015-03-05
77.46,2015-02-04
250,2015-02-27
2149.05,2015-05-15
32.2,2015-06-12
6500,2015-04-01
150,2015-02-16
831.19,2015-04-13
61.56,2015-05-22
482,2015-03-20
150,2015-06-12
719.88,2015-06-17
714.41,2015-01-29
94.87,2015-06-27
11,2015-01-05
79.63,2015-04-30
354.2,2015-03-10
59.28,2015-03-10
104.24,2015-02-26
3403.91,2015-04-30
4105.58,2015-02-23
87.21,2015-02-10
41.51,2015-04-06
218,2015-04-13
871.6,2015-01-24
275,2015-06-02
30,2015-01-12
19.78,2015-01-05
127.98,2015-02-11
500,2015-05-12
67.63,2015-03-04
29,2015-04-22
290.73,2015-05-14
86.49,2015-01-12
17.82,2015-04-27
6000,2015-06-03
38.38,2015-01-15
223.5,2015-05-04
145,2015-02-25
64.76,2015-05-04
939.45,2015-05-29
10.64,2015-06-22
421.64,2015-04-03
363.4,2015-03-18
141.68,2015-02-06
936.43,2015-01-22
1412.21,2015-06-30
1495.9,2015-06-30
18.3,2015-06-10
1500,2015-05-01
10,2015-01-22
1000,2015-04-07
1000,2015-03-10
105.74,2015-04-23
789,2015-02-19
9.59,2015-06-17
270,2015-03-04
4500,2015-01-02
50,2015-02-04
5533.33,2015-01-14
3250,2015-04-20
2175,2015-06-02
87.35,2015-06-11
60,2015-04-30
22.66,2015-06-08
634.2,2015-03-23
5003.77,2015-02-27
2000,2015-02-27
1109.06,2015-06-30
590,2015-03-13
-38.55,2015-01-14
44704.5,2015-05-18
195.39,2015-03-18
1800,2015-01-21
300,2015-06-08
7.95,2015-06-30
467.83,2015-02-09
4148.23,2015-02-12
319.21,2015-04-23
149,2015-04-26
19.55,2015-04-12
25,2015-06-25
97.8,2015-04-29
296.7,2015-06-22
9.25,2015-05-20
24.75,2015-01-15
3500,2015-02-24
2056.2,2015-04-15
444.95,2015-01-27
650,2015-05-05
5000,2015-01-30
124.73,2015-06-25
1324,2015-01-06
68.95,2015-04-10
8126.6,2015-05-05
589.95,2015-02-23
17.52,2015-05-29
8.34,2015-04-23
3534.91,2015-05-21
640.6,2015-02-13
845,2015-02-23
1042.99,2015-05-15
629,2015-03-27
20000,2015-02-19
2545,2015-03-31
30,2015-03-30
42.67,2015-06-25
3678.5,2015-01-06
40257.04,2015-04-30
1814.52,2015-01-15
410.61,2015-04-13
32.99,2015-06-10
285.3,2015-02-26
2026,2015-05-31
3.9,2015-05-21
29.85,2015-04-17
38,2015-05-26
19.95,2015-04-01
1494.89,2015-05-29
171.74,2015-06-02
4594,2015-06-16
1606.72,2015-01-12
100,2015-04-19
397.1,2015-01-20
2.29,2015-02-17
1500,2015-03-05
1500,2015-02-26
1.03,2015-01-08
158.1,2015-04-13
32.92,2015-05-29
651.28,2015-03-04
54.38,2015-04-29
250,2015-03-01
1098.9,2015-04-09
3213.1,2015-04-02
117.45,2015-02-18
856.15,2015-02-17
9139.32,2015-05-27
71,2015-04-10
295,2015-05-16
687.2,2015-02-23
2500,2015-03-06
414.84,2015-05-29
464.2,2015-03-30
17.7,2015-04-15
935.23,2015-05-15
10.03,2015-05-22
18000,2015-01-08
54.8,2015-06-10
1000,2015-02-04
116.31,2015-03-18
99,2015-06-23
888.58,2015-03-20
381.6,2015-03-15
22222.33,2015-02-24
532.13,2015-02-02
485.96,2015-03-13
2350,2015-06-30
500,2015-01-30
3875.5,2015-05-29
200,2015-04-22
8000,2015-05-08
15.12,2015-05-21
513.1,2015-03-13
1312.86,2015-05-15
255,2015-06-17
179.26,2015-01-27
685,2015-05-13
203.35,2015-06-03
3780.57,2015-03-18
500,2015-06-12
335.93,2015-02-03
4324.9,2015-04-14
4.09,2015-04-22
35,2015-06-29
38.95,2015-03-04
100,2015-03-16
3242.72,2015-04-15
0.23,2015-06-07
26.08,2015-02-23
71742.98,2015-02-13
10.5,2015-04-08
353.11,2015-05-04
299,2015-02-26
901.47,2015-04-28
2112.04,2015-03-13
56.55,2015-01-02
1951.62,2015-02-13
498,2015-03-26
259.66,2015-06-24
233.75,2015-03-10
31.71,2015-05-20
2995.59,2015-01-28
7.44,2015-04-28
1639.06,2015-02-27
2540,2015-02-26
265.88,2015-03-02
1500.5,2015-05-15
1.75,2015-05-08
493.44,2015-06-03
379.42,2015-06-11
2026,2015-01-30
520.01,2015-01-08
330.11,2015-05-18
24.74,2015-02-06
650,2015-06-03
29,2015-06-26
380,2015-05-15
316.19,2015-06-04
3500,2015-05-11
231.7,2015-02-09
40.01,2015-03-23
19.95,2015-03-24
539,2015-04-10
3500,2015-06-01
32.4,2015-06-24
878.5,2015-02-27
600,2015-01-28
250,2015-04-21
-414.8,2015-02-13
2044.01,2015-02-26
125,2015-01-29
2257.95,2015-01-27
294.38,2015-05-04
1031.14,2015-02-13
56.42,2015-05-06
115.67,2015-01-22
634.18,2015-02-02
109.08,2015-01-23
3.18,2015-06-02
150.08,2015-05-20
316.6,2015-03-11
117,2015-03-26
2226.33,2015-03-31
16.24,2015-01-21
15,2015-06-01
984.86,2015-06-08
15,2015-03-23
15.95,2015-05-01
6.99,2015-03-23
147.9,2015-03-18
383.87,2015-02-28
690.8,2015-01-13
621.52,2015-01-26
29.05,2015-04-06
85,2015-02-25
7121.06,2015-06-25
8000,2015-04-27
542.5,2015-01-26
994.4,2015-06-25
288,2015-05-22
3823,2015-04-17
53,2015-05-03
39.99,2015-05-05
208,2015-06-05
25.46,2015-05-21
18.25,2015-05-28
3570,2015-05-11
228.62,2015-01-16
19.95,2015-02-03
14251.64,2015-01-06
7775.94,2015-06-04
10,2015-02-12
29.3,2015-06-05
351.81,2015-05-29
3954.03,2015-01-30
245.11,2015-04-27
315,2015-05-24
60,2015-06-30
60,2015-06-30
336.32,2015-05-27
520,2015-04-20
81.8,2015-04-15
148.52,2015-06-18
86.78,2015-02-20
84.27,2015-02-04
350.25,2015-02-27
63.68,2015-05-18
756.71,2015-02-02
86,2015-03-23
30.95,2015-01-05
0.94,2015-04-03
0.23,2015-04-17
99,2015-03-21
7.39,2015-04-22
433.91,2015-05-29
145.73,2015-06-08
105.95,2015-05-01
178.5,2015-05-21
81.8,2015-02-23
329.31,2015-01-14
715.41,2015-02-06
453.65,2015-01-22
110.3,2015-05-29
222.82,2015-03-19
265.3,2015-02-17
803.57,2015-03-26
125.62,2015-03-30
185,2015-01-14
456.2,2015-02-02
1292.6,2015-04-12
15.83,2015-02-27
1986.71,2015-06-25
500,2015-02-19
1000,2015-04-01
815.24,2015-06-10
75,2015-01-08
300,2015-03-07
695.97,2015-06-22
27.95,2015-03-16
94,2015-06-30
1150,2015-03-11
75,2015-02-12
30,2015-05-14
105.74,2015-01-02
500,2015-05-01
1785.77,2015-03-13
133.5,2015-06-05
300,2015-02-04
307.89,2015-06-03
70.24,2015-06-04
213,2015-01-12
60,2015-05-29
187.21,2015-04-26
2.88,2015-06-12
5.95,2015-03-31
11.71,2015-01-21
69.81,2015-03-03
74.07,2015-06-14
11.72,2015-03-23
120,2015-04-06
13.13,2015-01-05
0.04,2015-01-04
40,2015-06-18
7651.47,2015-05-22
160,2015-06-25
238,2015-05-29
910.72,2015-03-18
2769.92,2015-05-29
-87.32,2015-04-07
350.39,2015-06-17
893.5,2015-06-22
273.9,2015-06-10
554.33,2015-05-05
918.34,2015-03-26
3765.72,2015-01-21
75,2015-04-25
98519.58,2015-03-10
892.42,2015-02-28
45,2015-01-12
65,2015-03-03
35,2015-03-16
226.2,2015-04-12
1517.24,2015-06-09
2814.5,2015-05-18
49.08,2015-05-05
60,2015-06-06
1278,2015-06-01
154,2015-06-04
100.6,2015-03-31
7.95,2015-02-03
973,2015-03-31
98,2015-04-28
3220,2015-05-31
1306.4,2015-02-13
79,2015-01-30
1411,2015-04-06
23.73,2015-04-23
250.48,2015-04-20
9.8,2015-06-22
336.69,2015-05-28
2499.81,2015-03-03
14,2015-04-30
529.93,2015-03-19
22500,2015-05-04
3580.04,2015-06-19
82.23,2015-05-19
7.59,2015-06-04
300,2015-06-11
500,2015-05-01
1801.64,2015-04-15
84.62,2015-02-26
311.18,2015-02-02
162.18,2015-02-05
67.91,2015-04-10
46579.47,2015-06-13
1283.88,2015-06-15
1013.45,2015-06-17
479.26,2015-01-23
0.76,2015-06-08
10,2015-01-02
1805.32,2015-03-13
45,2015-03-02
6700.57,2015-04-06
499.1,2015-03-06
2500,2015-04-01
2215,2015-03-08
270,2015-05-10
319.75,2015-03-26
50.9,2015-04-22
11.77,2015-06-05
1000,2015-03-07
2563,2015-02-05
918.83,2015-01-25
133.6,2015-04-06
435.5,2015-04-03
7100,2015-05-08
300,2015-01-08
31.12,2015-04-13
52.09,2015-06-08
1146.88,2015-03-27
150,2015-04-06
1182.74,2015-03-31
1775,2015-04-06
128.5,2015-02-26
245.91,2015-01-08
500,2015-02-02
13983.81,2015-02-10
79.31,2015-04-22
204.06,2015-02-28
208.86,2015-01-23
327.5,2015-06-17
537.03,2015-06-26
21.79,2015-05-28
1319.76,2015-03-13
55.59,2015-06-11
209.44,2015-02-05
300,2015-05-08
203.33,2015-01-15
323,2015-03-03
1888.48,2015-01-12
136,2015-05-12
250,2015-03-05
265.16,2015-01-10
675,2015-02-05
200,2015-02-09
691,2015-02-01
4.32,2015-05-26
606.7,2015-05-29
116.7,2015-04-30
2030.1,2015-06-29
490,2015-06-08
1363.19,2015-02-27
72.71,2015-04-30
31.73,2015-06-03
2008,2015-03-19
60,2015-04-30
692.06,2015-02-25
438.9,2015-03-27
600,2015-03-25
1000,2015-05-02
250,2015-05-29
25.3,2015-05-20
212.62,2015-05-22
604,2015-05-15
100,2015-01-24
58,2015-01-09
137.35,2015-03-31
20,2015-04-03
116.67,2015-02-02
899.94,2015-06-08
150,2015-01-05
29.95,2015-02-04
38.43,2015-06-30
10000,2015-01-31
1900.64,2015-06-22
100,2015-03-05
167.15,2015-03-03
545.27,2015-05-15
2500,2015-04-06
1289.03,2015-01-30
1240.61,2015-05-21
13500,2015-05-01
378.36,2015-04-29
245,2015-04-28
7500,2015-04-17
80.71,2015-03-09
0.91,2015-03-23
90,2015-02-12
1546.05,2015-05-29
498,2015-05-27
184.85,2015-06-02
2128,2015-05-11
59.95,2015-04-29
24.95,2015-06-10
50.57,2015-06-04
2030,2015-06-11
185.82,2015-05-26
1571.33,2015-05-21
219.29,2015-02-27
3.55,2015-02-12
1848.63,2015-05-15
500,2015-04-01
20000,2015-01-09
42.5,2015-02-17
823.8,2015-06-18
5,2015-06-12
570.07,2015-05-14
897.8,2015-05-14
91,2015-04-20
124.85,2015-03-09
350,2015-04-07
-315.93,2015-05-04
700,2015-05-14
2306.45,2015-04-14
567.58,2015-03-12
1330.6,2015-05-05
664,2015-01-30
34.05,2015-02-13
41.4,2015-02-05
1215.91,2015-02-27
420,2015-02-17
2000,2015-01-16
85511.56,2015-04-21
2827.96,2015-05-15
180,2015-04-20
344,2015-06-18
643.95,2015-03-20
279.5,2015-03-24
500,2015-03-24
213401.62,2015-06-25
875,2015-05-26
412.5,2015-02-13
7500,2015-02-25
1906.36,2015-02-27
5604.49,2015-06-30
72.7,2015-03-13
329.59,2015-01-14
839.2,2015-04-28
171.79,2015-01-06
-349.76,2015-04-22
2500,2015-03-31
823.55,2015-05-01
4000,2015-01-22
20.56,2015-04-14
40,2015-06-30
247.07,2015-06-17
13.44,2015-05-12
1592.62,2015-05-29
5.59,2015-03-08
861.83,2015-04-30
124.69,2015-06-15
152.98,2015-04-05
139.17,2015-05-21
9,2015-05-28
29.4,2015-02-03
1.47,2015-03-04
63.44,2015-06-03
667.99,2015-01-30
19.99,2015-05-20
1225.78,2015-02-13
1142.14,2015-03-19
4000,2015-06-01
1243.98,2015-04-30
6000,2015-01-05
53.36,2015-04-03
22.5,2015-03-13
1190.74,2015-04-30
300,2015-05-19
39.3,2015-04-08
216,2015-01-10
100,2015-06-11
6.56,2015-05-11
120.54,2015-04-27
255.11,2015-04-27
199.22,2015-02-10
2250,2015-04-06
50,2015-05-01
139.71,2015-03-15
142031,2015-06-18
68,2015-04-16
2313.96,2015-06-01
480,2015-03-03
18.26,2015-01-21
25.64,2015-01-07
75,2015-02-27
20,2015-01-05
14.26,2015-04-02
60.48,2015-02-19
161.55,2015-05-08
89.98,2015-01-23
237.14,2015-03-06
2710.43,2015-06-24
56.28,2015-04-08
7.34,2015-02-09
4.69,2015-04-30
6342.8,2015-03-25
2500,2015-02-02
135.99,2015-06-11
15,2015-06-15
378.72,2015-04-17
284.08,2015-06-09
2.5,2015-06-16
110,2015-04-22
139.98,2015-03-23
159.34,2015-04-14
24,2015-03-19
3282.54,2015-05-20
1750,2015-04-28
3323.37,2015-06-05
87.01,2015-06-29
317.62,2015-01-23
2500.19,2015-03-09
19.76,2015-03-29
182.85,2015-06-23
7.24,2015-06-18
1811.27,2015-02-11
289.02,2015-02-08
1610.52,2015-05-15
112.48,2015-01-14
4.5,2015-05-22
281.44,2015-05-04
31.96,2015-06-15
5396.3,2015-04-21
223.14,2015-06-10
1051.5,2015-01-27
1750,2015-06-30
100,2015-03-31
189,2015-06-30
388.9,2015-02-18
9,2015-05-26
14.42,2015-05-18
4193.68,2015-02-13
11.3,2015-04-20
54.21,2015-04-24
76.14,2015-05-11
18.35,2015-03-25
1102.37,2015-03-11
152.96,2015-06-08
99.8,2015-04-30
462.88,2015-03-18
2545.93,2015-04-16
98,2015-02-04
490.77,2015-05-31
9254.99,2015-05-04
88.82,2015-05-20
34.95,2015-06-08
65.5,2015-06-10
607.69,2015-05-21
1079.66,2015-06-26
2500,2015-01-18
42,2015-01-22
19.36,2015-02-22
1088.04,2015-02-27
49,2015-02-27
450,2015-02-27
74.08,2015-05-14
1692.6,2015-06-17
3250,2015-04-20
80.58,2015-03-03
64.05,2015-06-01
427.63,2015-02-10
133.95,2015-03-18
464.84,2015-03-30
121.36,2015-03-27
101.9,2015-03-11
79.95,2015-03-17
7.5,2015-03-06
192.5,2015-04-24
6300,2015-04-07
623.87,2015-06-01
18,2015-05-05
15.95,2015-05-14
1147.42,2015-05-27
12.5,2015-04-01
6377.01,2015-04-30
185.14,2015-05-03
225,2015-05-06
178.14,2015-05-02
1652.92,2015-03-13
359.92,2015-03-05
300,2015-05-15
2000,2015-01-21
90,2015-05-29
118.05,2015-06-29
70,2015-01-25
2212.1,2015-06-18
737.2,2015-01-07
92.24,2015-04-03
357.75,2015-06-09
451,2015-05-21
300,2015-04-10
32.4,2015-03-26
342.5,2015-03-12
5774.66,2015-05-14
42.27,2015-03-26
3550.44,2015-05-06
25000,2015-03-30
578.7,2015-05-31
1,2015-02-26
20.25,2015-03-23
1412.74,2015-06-14
3562.5,2015-01-14
44.33,2015-01-30
817.97,2015-06-30
1000,2015-03-09
30,2015-04-30
8.86,2015-01-15
200,2015-05-27
350.12,2015-02-02
75.08,2015-03-23
127.18,2015-05-01
86.2,2015-02-14
39.3,2015-05-06
858.97,2015-02-20
142.06,2015-06-20
264.15,2015-05-18
117.23,2015-05-15
16.39,2015-04-06
199.78,2015-05-15
1122.16,2015-06-18
28.57,2015-04-14
9.68,2015-04-19
40.09,2015-04-15
158.16,2015-06-11
293.28,2015-01-07
494.36,2015-04-29
356.7,2015-03-12
296.6,2015-05-15
442.02,2015-03-28
574.18,2015-05-21
138.1,2015-04-24
2545,2015-03-31
60,2015-06-30
31.02,2015-04-21
1500,2015-02-19
103.26,2015-06-30
12.69,2015-02-02
658.93,2015-06-08
150,2015-04-09
3876.33,2015-04-30
1416.66,2015-03-24
10,2015-03-11
155.33,2015-04-08
35.34,2015-03-11
42.17,2015-01-15
7443.06,2015-01-12
9000,2015-04-01
60,2015-03-02
112,2015-02-09
136.29,2015-01-15
606.83,2015-03-30
380.81,2015-06-24
434.53,2015-02-17
2000,2015-06-15
55,2015-05-03
1857.82,2015-02-27
2900.21,2015-06-25
1367,2015-01-20
1100.48,2015-06-05
1750,2015-02-04
4000,2015-03-24
678,2015-04-07
2127.19,2015-06-02
360,2015-02-20
1166.51,2015-01-04
534.84,2015-05-06
7500,2015-04-22
592.59,2015-05-05
197.5,2015-03-23
12.1,2015-01-28
700,2015-05-10
500,2015-06-24
0.6,2015-05-24
1.71,2015-06-19
900,2015-04-17
22.5,2015-03-10
49,2015-04-01
293.56,2015-02-27
29,2015-04-20
448.9,2015-06-16
166.83,2015-04-14
430.86,2015-05-07
925.96,2015-04-13
2636.66,2015-01-30
7.94,2015-06-26
1024.5,2015-03-31
5000,2015-05-20
2000,2015-03-02
1950,2015-03-22
8.02,2015-04-23
99,2015-04-20
194,2015-04-28
100,2015-04-25
249.27,2015-02-06
29.3,2015-03-11
33,2015-05-18
5133.49,2015-02-20
206.28,2015-06-08
27.7,2015-03-03
10000,2015-01-27
548.25,2015-02-09
5.95,2015-02-06
641.31,2015-02-12
2.19,2015-05-11
75,2015-02-17
111,2015-05-01
23.18,2015-05-29
2.5,2015-06-21
250,2015-03-02
150,2015-03-27
53.87,2015-03-14
92.73,2015-06-02
948,2015-01-15
1571.24,2015-06-15
3.25,2015-03-16
2500,2015-01-16
220,2015-06-25
0.16,2015-05-09
6.09,2015-04-01
158.31,2015-03-06
238.83,2015-03-23
500,2015-03-07
150,2015-05-19
245.99,2015-01-16
4.63,2015-06-19
6703.97,2015-05-05
218.46,2015-05-22
527.51,2015-02-04
13000,2015-04-16
4000,2015-03-11
242.96,2015-06-08
3138.39,2015-01-14
1046.74,2015-02-27
3954.04,2015-02-13
2788.9,2015-05-04
6.94,2015-04-23
128.85,2015-03-20
252,2015-06-04
314.14,2015-05-14
4923.01,2015-06-19
0.05,2015-04-06
1805,2015-05-20
6.94,2015-04-30
11.58,2015-04-17
2500.52,2015-06-30
1728.68,2015-04-30
768.79,2015-04-16
30000,2015-04-20
584.2,2015-04-21
1567.78,2015-01-21
3750,2015-06-18
30,2015-02-02
30.09,2015-03-01
77.5,2015-05-05
1029.7,2015-06-30
1.4,2015-04-27
616.3,2015-02-25
39.95,2015-05-29
6000,2015-01-30
2500,2015-06-01
781.47,2015-03-18
901,2015-03-18
0.86,2015-02-24
427.57,2015-05-12
32.65,2015-05-01
157.03,2015-05-27
15.96,2015-04-21
368.36,2015-05-28
6.21,2015-06-30
136.34,2015-01-30
818.6,2015-01-20
35.93,2015-04-21
776,2015-02-11
3350.44,2015-03-03
6000,2015-06-05
-40.36,2015-05-18
17884,2015-06-04
252.46,2015-05-08
19,2015-06-01
124.43,2015-05-10
3745,2015-05-28
118.94,2015-05-20
198.58,2015-04-27
2448.99,2015-03-30
4204.2,2015-06-04
144,2015-05-11
129.94,2015-03-27
300,2015-05-03
143.87,2015-02-03
675.6,2015-04-16
220,2015-02-26
2105.5,2015-04-01
1026,2015-03-12
17.96,2015-06-16
60,2015-03-28
399.55,2015-02-25
2100,2015-02-27
212.32,2015-03-31
15,2015-03-02
550,2015-04-21
8.37,2015-01-18
1545.18,2015-03-16
29.95,2015-06-15
30,2015-03-16
189.85,2015-06-08
225,2015-01-05
649.85,2015-04-15
122.83,2015-01-16
99347.04,2015-04-15
3859.41,2015-05-22
793.01,2015-06-01
2000,2015-05-25
408,2015-06-11
29.31,2015-04-29
93.75,2015-05-26
56.64,2015-04-14
243.34,2015-01-20
200,2015-06-03
85.69,2015-02-05
264,2015-06-22
91,2015-06-30
25,2015-01-16
3500,2015-03-01
5372.25,2015-05-20
0.14,2015-03-21
2676.18,2015-03-16
826.51,2015-04-08
176.6,2015-02-17
93.57,2015-04-23
80.91,2015-06-15
772,2015-06-15
150,2015-02-14
225.71,2015-06-01
479.58,2015-03-01
71.94,2015-04-30
277,2015-06-09
150,2015-06-13
97.65,2015-05-27
336,2015-06-26
1518.15,2015-06-29
55.19,2015-05-07
1126.66,2015-06-25
40967.6,2015-06-04
0.02,2015-06-05
2395.82,2015-02-09
332.15,2015-05-29
1700,2015-03-02
10,2015-04-03
25,2015-02-28
543.13,2015-04-23
2750,2015-04-20
56.91,2015-02-11
25.44,2015-03-20
425.08,2015-06-15
2877.75,2015-03-17
433.28,2015-06-11
4685.45,2015-02-13
55,2015-05-08
43.8,2015-03-25
258.38,2015-04-21
5939.09,2015-04-01
147,2015-01-30
474.89,2015-03-01
39.49,2015-06-18
618,2015-01-20
650,2015-01-07
8245.88,2015-05-17
3500,2015-06-10
2000,2015-03-30
1.99,2015-03-10
128.82,2015-03-05
2.03,2015-01-18
5000,2015-01-15
20,2015-06-16
1615,2015-01-05
70,2015-06-24
40,2015-01-05
2862.13,2015-05-15
401.14,2015-01-02
19.03,2015-06-22
11.46,2015-03-18
45,2015-06-19
331.2,2015-03-01
150,2015-02-23
326.32,2015-03-30
267.95,2015-04-20
10000,2015-04-10
200,2015-01-29
7500,2015-01-02
40.2,2015-04-17
761.14,2015-01-30
451.45,2015-01-07
495,2015-03-27
1508.98,2015-02-13
25,2015-01-23
735,2015-05-16
150,2015-01-14
137.66,2015-02-26
63.96,2015-03-22
178.35,2015-06-24
200,2015-05-05
245.28,2015-03-10
265,2015-01-21
9.95,2015-03-23
321,2015-02-20
210,2015-02-02
192.3,2015-02-05
719.68,2015-05-30
83.09,2015-02-11
485.1,2015-03-27
800,2015-01-30
5,2015-01-23
147.84,2015-05-04
552.6,2015-04-21
98.75,2015-03-22
16572.14,2015-04-24
50,2015-06-16
55.73,2015-03-25
100,2015-04-26
4510,2015-03-02
2258.78,2015-01-19
286.17,2015-06-01
515.01,2015-04-22
2956.47,2015-03-12
175,2015-01-12
15,2015-03-13
221.9,2015-01-12
642.61,2015-01-21
1275.91,2015-03-15
10.88,2015-03-29
150,2015-02-06
2227.5,2015-05-26
1753.15,2015-05-15
111.08,2015-06-03
79.7,2015-04-29
3218.31,2015-05-28
8.62,2015-01-13
3981.71,2015-01-14
2000,2015-01-23
12,2015-01-20
380,2015-06-18
8500,2015-06-02
150,2015-03-05
980,2015-06-25
7500,2015-01-06
328,2015-03-16
28.49,2015-06-05
49.84,2015-04-15
1999.72,2015-03-04
167.45,2015-06-02
3399,2015-02-01
544.36,2015-05-28
42,2015-01-07
212.82,2015-06-11
51.43,2015-06-30
1666.66,2015-01-28
17.9,2015-06-02
19,2015-06-09
250.32,2015-06-03
3500,2015-04-27
268107.5,2015-01-30
60,2015-06-22
596.74,2015-04-30
1388.89,2015-01-15
9.8,2015-04-13
88.69,2015-04-12
41.07,2015-03-02
40.49,2015-03-31
620.35,2015-03-23
6500,2015-02-09
428.15,2015-05-15
438.92,2015-06-01
3269.84,2015-02-13
209,2015-06-18
125,2015-05-18
1114.2,2015-06-18
197.1,2015-05-23
30,2015-01-02
17.53,2015-01-30
5.75,2015-06-08
5500,2015-03-09
1.18,2015-02-11
1475.52,2015-02-13
520,2015-03-21
1374.1,2015-04-30
1519.45,2015-06-22
14.42,2015-06-22
138.64,2015-02-06
74.68,2015-05-13
500,2015-06-20
1510.52,2015-06-30
147,2015-04-23
371.78,2015-03-04
446.2,2015-03-10
608,2015-02-13
100,2015-02-05
6.38,2015-05-05
385.62,2015-05-06
83.81,2015-05-19
63.56,2015-04-10
3784.1,2015-02-24
9.95,2015-03-23
1379.42,2015-02-23
695.88,2015-02-23
117.49,2015-06-17
66,2015-03-12
1056.2,2015-02-17
746.38,2015-06-12
100,2015-04-15
1036.73,2015-03-20
100,2015-02-06
45.5,2015-04-11
58.54,2015-06-03
5758.26,2015-03-25
1710,2015-06-26
2100,2015-03-20
6170,2015-05-01
3781.66,2015-03-31
29.9,2015-04-03
62.8,2015-02-02
26.31,2015-04-27
2805.95,2015-05-22
149,2015-04-16
150,2015-03-01
27.5,2015-03-23
67.78,2015-02-04
29.85,2015-04-15
249.55,2015-06-26
159,2015-02-02
3.55,2015-04-02
280,2015-03-31
400,2015-04-28
-15,2015-01-16
-81.58,2015-05-05
708.36,2015-04-12
250,2015-03-16
715.16,2015-04-15
107.53,2015-02-28
116.88,2015-03-13
5200,2015-05-20
433,2015-03-16
2576.08,2015-05-15
2835,2015-03-05
1842,2015-06-10
350,2015-05-14
211.32,2015-02-17
2075,2015-05-12
1165.24,2015-06-12
272.58,2015-04-17
2000,2015-04-23
670.25,2015-02-03
14.88,2015-06-15
1287.3,2015-06-15
112.95,2015-02-25
0.61,2015-05-04
1127,2015-02-01
750,2015-02-17
192.33,2015-05-20
285,2015-06-02
4847.34,2015-06-02
3218.32,2015-02-26
167.98,2015-01-15
23.5,2015-06-04
291.1,2015-02-12
60,2015-01-19
10.97,2015-03-03
264.41,2015-05-26
130.36,2015-06-03
15,2015-06-22
120,2015-04-09
649.09,2015-01-16
1650,2015-02-04
761.46,2015-03-23
210,2015-01-24
4847.19,2015-03-31
16.45,2015-06-12
575.1,2015-06-24
28000,2015-01-14
236.6,2015-02-04
121.98,2015-05-26
25,2015-03-03
1225.79,2015-03-31
100,2015-05-21
353.42,2015-04-23
75,2015-03-16
4.71,2015-01-21
75,2015-05-14
467.7,2015-05-01
46.79,2015-01-13
50,2015-06-01
417.1,2015-01-13
12000,2015-05-11
55,2015-01-05
670.55,2015-01-15
262.65,2015-06-16
7.5,2015-06-04
40000,2015-05-07
49364.5,2015-01-07
146.01,2015-03-31
1150,2015-04-02
199.34,2015-03-18
19.75,2015-04-16
150,2015-04-30
56.39,2015-03-31
1700,2015-03-30
254.72,2015-01-28
151.5,2015-05-01
275,2015-04-30
5532.4,2015-02-23
100,2015-05-12
12000,2015-03-31
1139.08,2015-06-24
490.02,2015-06-16
200,2015-05-22
63721.5,2015-06-01
4.99,2015-05-01
6.38,2015-05-19
554.56,2015-03-23
1950,2015-04-28
1917.89,2015-03-31
4003.01,2015-01-07
234.8,2015-05-04
100,2015-03-20
122.33,2015-04-23
30,2015-05-15
19.95,2015-05-04
20,2015-06-23
11.5,2015-01-19
3961,2015-05-13
138.6,2015-03-19
756.3,2015-04-29
83.16,2015-01-22
5273.56,2015-05-29
2873.45,2015-04-03
